Unnamed: 0,Date,Headline,Category,TextBlob_Sentiment,VADER_Sentiment,BERT_Sentiment_Label,BERT_Sentiment_Score
35,06/07/2017,Political Death by 1000 Tweets,Commentary,0.0,-0.5994,0,0.5264927744865417
36,04/02/2014,Saks Fifth Avenue Gets a Facelift,Photos,0.0,0.0,3,0.37890568375587463
37,02/25/2014,Citi Alumni Are Force in Nation's Capital,Markets,0.0,0.0,4,0.5803529620170593
38,03/04/2002,Eurobond Market Springs to Life,Major Business News,0.0,0.0,4,0.5682197213172913
39,08/28/2015,Restoring American Exceptionalism,Commentary,0.0,0.296,4,0.5024738907814026
40,09/22/2000,Dumb-Good vs Evil-Smart,Opinion,0.0,0.0,0,0.46171656250953674
41,01/04/2011,European Stocks Rise BP Hits 6-Month High,Europe Markets,0.08,0.0,4,0.24862466752529144
42,02/26/2021,Joe Biden’s Mixed Iran Messages,Review & Outlook,0.0,0.0,2,0.2597064971923828
43,08/11/2004,Timor Sea Talks to Accelerate,World News,0.0,0.0,3,0.3456781208515167
44,04/09/2018,Colombia Detains a Leader of Former Rebel Group on Drug Charges ,Latin America,0.0,-0.4019,0,0.4847917854785919
45,09/02/2010,US Open Day Four Photos,Photos,0.0,0.0,3,0.2855153977870941
46,02/21/2015,The Letters of Langston Hughes,Bookshelf,0.0,0.0,4,0.41715651750564575
47,04/24/2008,Asian Sales Help Pepsi Offset Costs,Earnings,0.0,0.4019,4,0.3718324601650238
48,02/23/2004,Dollar Retreats From Gains,Foreign Exchange,0.0,0.34,0,0.5032017230987549
49,08/07/2003,Reed Elsevier Posts Flat Net Profit,European Business News,-0.0125,0.4404,3,0.23156467080116272
50,06/28/2003,Stimulus Should Support Stocks in 2nd Half,Markets Main,-0.08333333333333333,0.4019,3,0.3374919593334198
51,06/29/2005,Americas Markets End Mixed,Americas Markets,0.0,0.0,2,0.34093955159187317
52,07/15/2012,Dynam Plans Pachinko-Hall Expansion,Deals & Deal Makers,0.0,0.0,3,0.3088248074054718
53,10/06/2018,De Blasio Struggles to Find an Eco-Friendly Car That’s Not a Tight Squeeze,New York,0.08928571428571429,-0.3612,2,0.33493468165397644
54,01/21/2015,Treasury Secretary Optimistic on Business Tax Overhaul,Politics,0.0,0.4767,2,0.25777462124824524
55,12/13/2013,Errors Continue to Plague Health Site,Politics,0.0,-0.34,0,0.5451617240905762
56,01/30/2002,Symbian Raises 293 Million,Today's Ventures,0.0,0.0,4,0.29131007194519043
57,09/12/2014,FDA Panel Backs NPS Hormone Drug,Business,0.0,-0.0516,0,0.3684695363044739
58,11/28/2013,New Yorkers Don't Gripe About 311 ,New York Region,0.13636363636363635,0.0,0,0.41898179054260254
59,07/30/2008,SAP's Net Income Falls 9,Technology,0.0,0.0,0,0.3140261769294739
60,04/18/2007,Tesco to Expand Land Sales,Earnings,0.0,0.3182,4,0.43950921297073364
61,06/04/1998,RCN Acquires Qwest Fiber Lines,Tech Center,0.0,0.0,4,0.3865335285663605
62,03/12/2002,Ford Treasurer Leaves for Comerica,Major Business News,0.0,0.128,0,0.3346957564353943
63,01/01/1999,Russia Says IMF Planning Visit,Business and Finance - Europe,0.0,0.0,0,0.28640735149383545
64,05/27/2009,Prudent Chile Thrives Amid Downturn,Economy,0.0,0.0,3,0.5136646628379822
65,06/12/2010,Mind Body United at New Haven Festival,New York Culture,0.13636363636363635,0.7184,4,0.44146934151649475
66,10/05/2004,The Afternoon Report,The Afternoon Report,0.0,0.0,3,0.3228970766067505
67,12/01/2001,Excite Ends Service to AT&T Customers,Tech Center,0.0,0.4767,0,0.4188723862171173
68,02/28/2002,Techs Close Out a Brutal Month Lower,Tech Stocks,-0.875,-0.743,0,0.5310701131820679
69,09/17/2001,SAS Board Resigns Over Route-Fixing Deal,Business and Finance - Europe,0.0,-0.3182,0,0.34265080094337463
70,06/18/2016,China Vanke Strikes 69 Billion Deal to Avoid Takeover ,Business,0.0,-0.5719,0,0.7503365278244019
71,06/01/2014,Google to Spread Web via Satellites,Technology,0.0,0.0,4,0.42501941323280334
72,03/22/2020,Coronavirus Hits Native American Communities ,US,0.0,0.0,4,0.4532766044139862
73,06/13/2016,Apple Aims to Boost Services,Tech,0.0,0.4019,4,0.4482565224170685
74,12/30/2018,‘Clean Curtains’ and New Year’s Resolutions,Commentary,0.2515151515151515,0.0,4,0.5135611891746521
75,08/21/2008,Cemex's Cement Shoes,Heard on the Street,0.0,0.0,4,0.4465499222278595
76,04/02/2020,Chicago Mayor Appoints Former Dallas Chief as Top Cop ,US,0.25,0.2023,4,0.5727699995040894
77,11/20/2001,Palm Inventor Studies Human Computer,Tech Center,0.0,0.0,4,0.36739906668663025
78,03/13/2019,The Tip the Yale Coach and the Wire How the College Admissions Scam Unraveled ,US,0.0,-0.5719,4,0.2793203890323639
79,10/15/2010,Color Me Eccentric,Photos,0.0,0.0,4,0.7043291926383972
80,03/11/2018,Coming Soon to a Front Porch Near You Package Delivery Via Drone ,Business,0.1,0.0,4,0.35371145606040955
81,10/28/2016,Prosecutor Highlights Famous Email in Closing Statements,New York,0.5,0.0,0,0.30374062061309814
82,10/21/1998,Read-Rite's Revenue Plunges,Tech Center,0.0,0.0,0,0.3754251301288605
83,05/28/2002,Nasdaq Sets Headquarters Relocation,Major Business News,0.0,0.0,4,0.3629091680049896
84,05/15/2017,Gulf States Offer Better Relations If Israel Makes New Bid for Peace ,Middle East,0.3181818181818182,0.7506,2,0.29870519042015076
85,09/17/2008,A Scandal With Tragic Results,Heard on the Street,-0.75,-0.7096,0,0.7442477941513062
86,02/07/2013,Senators Say No Subsidies for Unions,Politics,0.0,-0.296,0,0.37111127376556396
87,08/28/2019,‘The 1619 Project’ Hurts Blacks,Commentary,0.0,-0.4767,0,0.3179565370082855
88,07/13/2003,Sharon Heads to Britain,World News,0.0,0.0,3,0.2823166847229004
89,02/20/2011,House Votes to Cut 61 Billion in Spending,US,0.0,-0.2732,0,0.44356122612953186
90,01/02/2000,Nasdaq Posted Loss Of 39 for 2000,Tech Stocks,0.0,-0.3182,0,0.4383661448955536
91,11/09/2000,ECB Intervenes To Support Euro,Foreign Exchange,0.0,0.4019,3,0.36673086881637573
92,10/21/2017,Brazil’s JBS Says Operations Resumed at 7 Slaughterhouses ,Business,0.0,0.0,0,0.49265581369400024
93,09/23/2004,Rite Aid Swings to Profit,Earnings,0.0,0.4404,0,0.4282894730567932
94,01/11/2003,Gov Ryan's Statement At Northwestern,World News,0.0,0.0,3,0.29677891731262207
95,04/13/2015,Snowden and Beijing’s Cannon,Review & Outlook,0.0,0.0,4,0.3643703758716583
96,11/14/2014,Two Charged in Campaign Finance Case,Politics,0.0,-0.2023,0,0.3410625159740448
97,05/28/2018,Photos of the Day May 28,Slideshow,0.0,0.0,0,0.27800628542900085
98,06/12/2016,Cameron Warns EU Exit Would Put Pensions at Risk,World,0.0,-0.3612,0,0.5067242383956909
99,05/03/2014,Photos Berkshire Hathaway's Annual Meeting,Photos,0.0,0.0,4,0.4231981039047241
100,03/14/2000,Solectron Meets Expectations,Major Business News,0.0,0.0,4,0.43818700313568115
101,10/31/2016,Southwest Flight Attendants Approve New Labor Contract ,Business,0.13636363636363635,0.0,3,0.3407667875289917
102,08/07/2010,As Spill Recedes Probes Advance,Business,0.0,0.0,2,0.24994884431362152
103,11/07/2009,Treasurys Split on Jobs Sales,Credit Markets,0.0,0.0,0,0.26178479194641113
104,08/05/2009,Interpreting Life for Gitmo Detainees,World,0.0,0.0,3,0.4112565219402313
105,03/22/2018,The Orange Is the Apple of My Eye,Commentary,0.0,0.0,4,0.6300424933433533
106,10/21/2014,GOP Works to Improve Targeting of Voters,Politics,0.0,0.4404,3,0.4347919523715973
107,12/27/2000,Government Ends Bank Protest,Business and Finance - Asia,0.0,-0.25,0,0.643319845199585
108,11/23/2012,Medicaid Hits Budget,New York Region,0.0,0.0,3,0.23278415203094482
109,12/08/2010,KDB Forges Deal for GM Daewoo,Business,0.0,0.0,4,0.4719734489917755
110,07/08/2001,US Hands Over Rape Suspect to Japan,World-Wide,0.0,-0.7845,0,0.4967246949672699
111,05/22/2001,Open Solutions NetContinuum Announce New Funding Rounds,Today's Ventures,0.06818181818181818,0.1779,4,0.3001735508441925
112,09/17/2010,Getting a Grip at Michelin,Heard on the Street,0.0,0.0,4,0.5796825885772705
113,04/12/2014,Kocherlakota Targeted Tax Cut Could Boost Economy,Politics,0.0,0.1531,3,0.32228928804397583
114,10/17/2011,Primary Inflation Stalks the Land,Letters,0.4,0.0,1,0.3988399803638458
115,07/31/2010,Anti-Federalists Had Their Points,Letters,0.0,0.0,2,0.2594079077243805
116,01/28/2018,Cyprus President Leads First-Round Vote Heads to Runoff ,Europe,0.0,0.0,0,0.5090314149856567
117,09/06/2009,Capital Losses Limit Unlikely to Change,Ask Dow Jones,-0.5,-0.4019,0,0.4997820556163788
118,09/09/2008,Rally Erased,The Evening Wrap,0.0,0.0,0,0.4630090892314911
119,08/29/2016,Obama’s For-Profit Execution,Review & Outlook,0.0,0.0,4,0.4557816684246063
120,12/28/2017,SoftBank Succeeds in Tender Offer for Large Uber Stake,Tech,0.45714285714285713,0.4939,3,0.4221268594264984
121,08/03/2010,Gold Gains as Recovery Concerns Rise,Markets,0.0,0.34,4,0.38822391629219055
122,12/17/2010,The Pioneering SUV Isn't One Anymore,Photos,0.0,0.0,0,0.33834707736968994
123,12/07/2005,Gold Metals Stocks Buoy Toronto,Americas Markets,0.0,0.0,4,0.5118939280509949
124,02/06/2020,Aurora Cannabis Chief Executive To Depart Amid Layoffs,Business,0.0,0.0,0,0.445746511220932
125,10/28/2016,Tesla CEO Aims to Make Solar Panels as Appealing as Electric Cars,Tech,0.5,0.0,4,0.5091671943664551
126,01/04/2020,Southern Italy’s Ills Test Shaky National Coalition ,Europe,-0.16666666666666666,-0.2263,0,0.2644914388656616
127,04/16/2004,EMC's Net Income Jumps,Technology,0.0,0.0,3,0.35913655161857605
128,11/11/2017,Lebanon’s President Seeks Answers on Prime Minister’s Absence,Middle East,-0.0125,0.0,0,0.35141053795814514
129,05/30/2014,SpaceX's Manned Capsule Merges High-Tech and Safety,Technology,0.0,0.4215,4,0.6327494978904724
130,02/02/2020,Booze Ads on Social Media Stir Controversy ,Media & Marketing,0.03333333333333333,0.0,0,0.45790645480155945
131,11/29/2006,NASD NYSE Agree to Merge Some Oversight,Heard on the Street,0.0,0.3612,2,0.4157275855541229
132,07/21/2000,Deutsche Telekom VoiceStream Talks Progress,Tech Center,0.0,0.4215,4,0.4054758548736572
133,08/23/2010,Lexmark Files Complaints,Business,0.0,-0.4019,0,0.3157704770565033
134,07/03/2009,FDIC Can Bank on Opposition,Business,0.0,0.0,0,0.4074544608592987
135,01/14/2005,Apple Jumps Verizon GM Tumble,US Stocks,0.0,0.0,0,0.4948788285255432
136,11/23/2003,More Taxpayers Turn to Pros,Ask Dow Jones,0.5,0.0,1,0.32570695877075195
137,01/22/2015,Overheard Royal Roils Oil,Heard on the Street,0.0,0.0,0,0.5191527009010315
138,04/15/2020,Saving Notre Dame,Slideshow,0.0,0.0,4,0.6121021509170532
139,10/04/2018,Trump Aims to Model New Trade Deals on Revised Nafta,World,0.13636363636363635,0.0,4,0.3627755641937256
140,09/17/2012,Judge Blocks Curfew in Camden NJ,New York Region,0.0,-0.2263,3,0.31156274676322937
141,06/02/2002,Don't Double-Insure Your Vehicle,Tip of the Week,0.0,0.0,0,0.42044511437416077
142,01/10/2006,Ford Focuses on Market-Share Slide,US Business News,0.0,0.0,3,0.4089031219482422
143,10/10/2018,BlackRock Makes Private-Equity Bet ,Markets,0.0,0.0,4,0.3378389775753021
144,11/30/2020,Government’s Lawyer Urges Justices to Delay Ruling on Census Plan,Politics,0.0,-0.3182,0,0.4149559438228607
145,02/15/2011,Sears' Lampert Reports Stake in Gap,Business,0.0,0.0,0,0.2696162164211273
146,02/25/2011,Tobacco Firms Sue FDA,Health,0.0,0.0,0,0.5435889959335327
147,07/01/2001,Economy Grew at 12 Rate,Economy,0.0,0.0,2,0.2504691481590271
148,03/18/2018,North Korea to Meet for Talks With US South Korean Delegations in Helsinki,Asia,0.0,0.0,3,0.33991003036499023
149,06/13/2010,Vital Signs,US,0.1,0.296,3,0.3122164309024811
150,03/11/2015,House Panels to Widen Clinton Email Probes,Politics,0.0,0.0,3,0.3594522774219513
151,05/04/2003,Swiss International Air to Cut More,European Business News,0.25,-0.2732,2,0.24650391936302185
152,12/16/2000,LVMH to Buy de Pury Dealership,Major Business News,0.0,0.0,4,0.4993423521518707
153,03/05/2012,Heralded Billboards Fail to Appear,New York Region,-0.5,-0.5423,0,0.5819020867347717
154,05/16/2008,Airlines Oil Stocks Boost Indexes,Europe Markets,0.0,0.4019,4,0.543071985244751
155,01/16/2011,AFC Playoffs Diary Jets-Patriots,Sports,0.0,0.0,3,0.2895001471042633
156,01/04/2012,From the Hockey Rink to the Classroom,Photos,0.0,0.0,4,0.508179247379303
157,04/30/2014,Iraqis Turn Out to Vote Amid Tight Security,Middle East,-0.17857142857142858,0.34,0,0.42885759472846985
158,07/19/2012,Texas Alters Execution Procedure,Politics,0.0,0.0,1,0.2901659309864044
159,01/03/2005,InBev Raises Stake in Russia's Sun Interbrew,European Business News,0.0,0.0,4,0.36059698462486267
160,04/26/2017,Why Does Alec Baldwin Hate Science,Commentary,-0.8,-0.5719,0,0.5737794637680054
161,05/10/2004,PhotoThera Receives 19 Million,Markets Main,0.0,0.0,0,0.3755711615085602
162,02/22/2018,Hewlett Packard Enterprise Raises Shareholder Return Target to 7 Billion,Earnings,0.0,0.0,0,0.4517744183540344
163,08/15/1998,No Honeymoon for Covenant Marriage,Commentary,0.0,-0.296,0,0.35211053490638733
164,03/10/2019,After Dumping the A380 Airbus Bets on Smaller Jets ,Business,0.0,-0.3182,0,0.25794896483421326
165,02/24/2016,US Warns Banks Off Russian Bonds ,Markets,0.0,-0.1027,0,0.410831093788147
166,09/27/2016,New Council Puts Focus on the Food Industry,Tri-State Area,0.13636363636363635,0.0,3,0.42376235127449036
167,07/16/2012,Games Row G4S Shares Targeted,Europe,0.0,0.296,4,0.3377704620361328
168,11/18/2018,Florida’s Close Election Call,Review & Outlook,0.0,0.0,3,0.3617536425590515
169,01/08/2010,Gold Turns Back Up,Commodities,0.0,0.0,4,0.39221999049186707
170,08/01/2020,Facial Recognition’s Next Big Play the Sports Stadium ,Tech,0.0,0.34,4,0.41700467467308044
171,04/14/2010,Pelosi Concerns Over Bailouts 'Almost Laughable',Politics,-0.5,-0.024,1,0.4054082930088043
172,01/12/2000,Merrill Appoints Global Strategist,Money & Investing,0.0,0.0,4,0.5471262335777283
173,02/18/2008,Kosovo Declares Independence,European Business News,0.0,0.0,0,0.26713991165161133
174,01/11/2021,Boss Madigan Teeters in Illinois,Review & Outlook,0.0,0.0,3,0.27315816283226013
175,01/12/2016,Terror in Istanbul,Review & Outlook,0.0,-0.5267,4,0.29114076495170593
176,03/10/2018,Rohingya Driven From Home Face New Threat Elephants ,Asia,0.13636363636363635,-0.5267,0,0.5881240963935852
177,07/13/2015,Pentagon Readying Plan to Lift Transgender Ban,US,0.0,-0.5574,4,0.3197731673717499
178,02/21/2012,Telenor to Transfer Indian Operations to New Entity,Technology,0.13636363636363635,0.0,0,0.29681625962257385
179,03/07/2013,KKR Reaches Deal for Gardner Denver,Business,0.0,0.0516,3,0.22666150331497192
180,09/10/2010,Skilled Healthcare Group Neutral Tandem Biggest Price Decliners SKH TNDM,Markets,0.5,0.0,4,0.5455973148345947
181,11/26/2014,Dow S&P 500 Set Records,Today's Markets,0.0,0.0,4,0.5758646726608276
182,09/08/2017,Dozens Killed in Mexico Earthquake,Latin America,-0.2,-0.6705,0,0.731333315372467
183,06/19/2008,BOE Taps Bean as Deputy Governor,Economy,0.0,0.0,3,0.3251408636569977
184,06/25/2017,Number of UK High-Rises Failing Fire-Safety Checks Increases ,World,0.0,-0.4588,1,0.3719581365585327
185,02/18/2004,Netsky Virus Spreads Through PCs,Technology,0.0,0.0,0,0.4392619729042053
186,11/15/2001,Shares Finish Higher Following US Gains,Asian Stocks,0.125,0.5574,1,0.35313403606414795
187,09/03/2000,Settling Disputes Over Air Travel,Tip of the Week,0.0,-0.2732,2,0.2994309663772583
188,08/06/2010,Report Intensifies Fed Debate,Economy,0.0,0.0,3,0.267732709646225
189,09/04/2007,Sony Takes on Apple in Downloads,Technology,0.0,0.0,4,0.44625386595726013
190,05/11/2010,Tip of the Day,Business,0.0,0.0,4,0.7048481702804565
191,11/30/2017,Argentina Ends Rescue Efforts for Missing Submarine Crew ,Latin America,-0.2,0.2732,0,0.4286300539970398
192,02/20/2015,New Security Jitters for SIM Cards,Tech,0.13636363636363635,0.34,4,0.5494464635848999
193,01/05/2020,The Senate Knows Enough to Acquit Trump,Commentary,0.0,0.2023,4,0.28865066170692444
194,10/17/2003,Ahold Warns on 2003 Results,European Business News,0.0,-0.1027,3,0.2862747311592102
195,08/16/2017,Trump’s Remarks Rattle His Staff Threaten Agenda,US,0.0,-0.3818,0,0.5846831202507019
196,04/07/2018,Two Soldiers Killed in Fort Campbell Helicopter Crash ,US,-0.2,-0.802,0,0.5831671953201294
197,10/09/2015,Shut Up—Or We’ll Shut You Down,Review & Outlook,-0.15555555555555556,0.0,0,0.7521920800209045
198,11/29/2012,The Jazz Scene Ornette Coleman Inspires Steve Tyrell Serenades,New York Culture,0.0,0.4404,3,0.41237738728523254
199,06/30/2003,Ahold Plans to Trim Restatement,European Business News,0.0,0.0,3,0.3423294126987457
200,06/26/2008,Ch&aacutevez Meets His Match,Extra,0.0,0.0,3,0.3825703561306
201,10/26/2011,Express Scripts CEO Walgreen Pact 'Less Likely',Health,-0.08333333333333333,0.0,0,0.28578832745552063
202,05/01/2001,General Dynamics to Acquire Jet Maker,Major Business News,0.05000000000000002,0.2732,4,0.42508918046951294
203,08/30/2008,Puma Stake Pumps Up PPR's Profit,Earnings,0.0,0.4404,4,0.449014812707901
204,03/03/2004,Governance Fight Hits SK Corp,Asian Business News,0.0,-0.3818,4,0.39869362115859985
205,03/24/2021,Bernie Sanders’s Censorship Wisdom,Review & Outlook,0.0,0.5267,0,0.2981638014316559
206,05/23/2009,Ch&aacutevez Raises Stake in Banks,Business,0.0,0.0,4,0.41361546516418457
207,08/16/2012,Man Dies in Shooting in Harlem Inn,New York Region,0.0,0.0,0,0.30660322308540344
208,01/14/2009,Economy Still Deteriorating,Economy,0.0,0.0,1,0.46010830998420715
209,12/07/2010,Georgia Arrests Six Terrorist Suspects,Europe,0.0,-0.875,0,0.45759811997413635
210,08/22/2005,Cerenis Therapeutics Raises 305 Million,Today's Ventures,0.0,0.0,4,0.3186101019382477
211,11/30/2016,Do Illegal Votes Decide Elections,Commentary,-0.5,-0.5574,0,0.5880183577537537
212,12/16/2020,Roku Signs Deal to Carry HBO Max Ending Standoff ,Business,0.0,0.0,4,0.24283446371555328
213,06/10/2008,Mixed Finish Amid Inflation Fears,Today's Markets,0.0,-0.4215,2,0.6082255840301514
214,04/10/2019,Latest Ghosn Search Exposes Japan’s Feeble Attorney-Client Privilege ,Business,0.0,-0.0516,4,0.3917461037635803
215,11/20/2018,A Short History of American Immigration,Commentary,0.0,0.0,3,0.35482966899871826
216,02/03/2008,Super Bowl Slump Ahead,Investor's Calendar,0.3333333333333333,0.5994,4,0.4817047715187073
217,02/05/2016,Oil-Price Drop Squeezes States,US,0.0,-0.2732,0,0.33328911662101746
218,02/18/2004,Kentucky Win Lifts Democrats' Spirits,Politics and Policy,0.8,0.5859,4,0.31269967555999756
219,09/09/2013,House GOP Craft Proposal to Avoid Government Shutdown,Politics,0.0,-0.296,3,0.24995587766170502
220,02/14/2006,Haiti's Elections Take a Bad Turn,World News,-0.6999999999999998,-0.5423,0,0.48853346705436707
221,09/05/2000,Muslim Rebels Reject Hostage Swap,World-Wide,0.0,-0.5423,0,0.5602605938911438
222,12/17/2001,Italian Bond Issue Dominates Session,Business and Finance - Asia,0.0,0.0516,4,0.3517945110797882
223,07/07/2019,California Assesses Damage After Second Powerful Earthquake Hits ,US,0.15,-0.1027,0,0.4776241183280945
224,11/24/2003,Telstra Finishes Share Buyback,Telecommunications,0.0,0.296,4,0.45045948028564453
225,06/12/2011,Miners Submit Zimbabwe Indigenization Plans,Business,0.0,0.0,0,0.3792468011379242
226,09/30/2005,Crude Gains While Heating Oil Slips,Commodities,-0.7,-0.3182,1,0.36301788687705994
227,07/05/2010,Weale Joins BOE Committee,Economy,0.0,0.0,3,0.32421883940696716
228,03/16/2019,Christchurch’s Tiny Community of Muslims Diverse Deeply Rooted and Embraced ,World,0.0,0.0,4,0.6648734211921692
229,12/31/2006,Revived Deductions Pose Tax-Form Hassles,Ask Dow Jones,0.0,0.0,0,0.43796852231025696
230,08/25/2015,Catherine Bellis Moves Closer to the US Open,New York,0.0,0.0,2,0.2852613031864166
231,09/01/2004,Stocks Gain Despite Weak Economic Data,US Stocks,-0.0875,0.7009,3,0.3834354281425476
232,02/27/2009,US Charges Enemy Combatant,Politics and Policy,0.0,-0.6808,0,0.2903324365615845
233,09/04/2003,Probe Centers on Bank of America,Markets Main,0.0,0.0,0,0.26494330167770386
234,05/05/2011,UBS Names Head of Asia Metals & Mining Asia Pacific,Markets,0.0,0.0,4,0.2579782009124756
235,02/09/2015,Turkish Lira Sinks to New Low,Foreign Exchange,0.012121212121212116,-0.2732,0,0.5179761052131653
236,03/31/2014,Budget Items That Landed on the Cutting-Room Floor,New York Politics,0.0,0.0,2,0.32754412293434143
237,08/08/1998,Dollar Tops 146 Yen Hitting 6-Week High,Foreign Exchange,0.16,0.5106,0,0.6727613210678101
238,01/30/2001,Technology Briefs,Tech Briefs,0.0,0.0,3,0.3382851779460907
239,12/27/2014,Hackers Hit Videogame Services,Tech,0.0,0.0,0,0.5351730585098267
240,02/19/2007,Iran's Smoking Guns,Review & Outlook,0.0,0.0,4,0.35308945178985596
241,02/03/2017,Trump’s Policy Turn on Iran,Review & Outlook,0.0,0.0,4,0.3573547303676605
242,01/04/2014,Photos of the Week Dec 29-Jan 4,Photos,0.0,0.0,4,0.2784602642059326
243,12/14/2004,Hilfiger Buys Lagerfeld Brands,Media & Marketing,0.0,0.0,4,0.6232287287712097
244,01/27/2015,Officials Take Hit on Closing Roads Trains,Politics,0.0,0.0,0,0.31735900044441223
245,08/31/2000,US Markets End Higher On Tech Financial Stocks,Major Business News,0.125,0.0,1,0.31766578555107117
246,08/26/2016,A Quiet Hero From the Greatest Generation,Commentary,0.5,0.8316,4,0.8046427369117737
247,09/26/2001,CMGI Reports Loss of 13 Billion,Tech Center,0.0,-0.3182,0,0.586414098739624
248,01/08/2002,Daimler Will Enter Auto-Sector Issuance,Business and Finance - Asia,0.0,0.0,4,0.2463156282901764
249,10/14/2008,Statements by Paulson Bernanke Bair,Business,0.0,0.0,2,0.26237067580223083
250,10/29/2019,Labor Secretary Scalia to Participate in Financial-Advice Rulemaking,Politics,0.0,0.0,3,0.33616647124290466
251,12/29/2012,Negotiators Grapple With Tax Issues ,Politics,0.0,0.0,2,0.24438032507896423
252,06/02/2020,Zoom’s Boom Has a Price ,Heard on the Street,0.0,0.0,4,0.49549561738967896
253,11/18/2017,NFL Owners Exchange Fire Over Goodell Contract ,Sports,0.0,-0.34,0,0.46692565083503723
254,04/05/2010,'Extreme' Foreclosures,Photos,-0.125,-0.5709,1,0.4131799340248108
255,03/19/1999,Treasurys Prices Are Pressured By Coming Corporate Supply,Credit Markets,0.0,-0.2263,1,0.3259044587612152
256,10/07/2016,California Issues Self-Driving Vehicle Testing Permits to Valeo Wheego ,Tech,0.0,0.0,0,0.32572484016418457
257,04/18/2021,The Fate of Alexei Navalny,Review & Outlook,0.0,0.0,3,0.34509170055389404
258,11/18/2001,Creative Investments For Tough Times,Getting Going,0.05555555555555555,0.34,3,0.4258382320404053
259,08/17/2019,North Korea’s Missile Tests Fail to Provoke Response From Washington,Asia,-0.5,-0.7351,0,0.3386322557926178
